parcellation_label,parcellation_term_label,parcellation_term_set_label,parcellation_index,voxel_count,volume_mm3,color_hex_triplet,red,green,blue,parcellation_term_name,parcellation_term_acronym,parcellation_term_set_name,term_set_order,term_order,parent_term_label
AllenCCF-Annotation-2020-654,AllenCCF-Ontology-2017-654,AllenCCF-Ontology-2017-SUBS,644,548128,0.5481280000000001,#188064,24,128,100,"Primary somatosensory area, nose, layer 4",SSp-n4,substructure,4,18,AllenCCF-Ontology-2017-353
AllenCCF-Annotation-2020-702,AllenCCF-Ontology-2017-997,AllenCCF-Ontology-2017-ORGA,692,567366,0.5673660000000001,#FFFFFF,255,255,255,brain,brain,organ,0,0,
AllenCCF-Annotation-2020-702,AllenCCF-Ontology-2017-8,AllenCCF-Ontology-2017-CATE,692,567366,0.5673660000000001,#BFDAE3,191,218,227,Basic cell groups and regions,grey,category,1,1,AllenCCF-Ontology-2017-997
AllenCCF-Annotation-2020-702,AllenCCF-Ontology-2017-315,AllenCCF-Ontology-2017-DIVI,692,567366,0.5673660000000001,#70FF71,112,255,113,Isocortex,Isocortex,division,2,1,AllenCCF-Ontology-2017-8
AllenCCF-Annotation-2020-702,AllenCCF-Ontology-2017-353,AllenCCF-Ontology-2017-STRU,692,567366,0.5673660000000001,#188064,24,128,100,"Primary somatosensory area, nose",SSp-n,structure,3,4,AllenCCF-Ontology-2017-315
AllenCCF-Annotation-2020-702,AllenCCF-Ontology-2017-702,AllenCCF-Ontology-2017-SUBS,692,567366,0.5673660000000001,#188064,24,128,100,"Primary somatosensory area, nose, layer 5",SSp-n5,substructure,4,19,AllenCCF-Ontology-2017-353
AllenCCF-Annotation-2020-889,AllenCCF-Ontology-2017-997,AllenCCF-Ontology-2017-ORGA,879,804808,0.8048080000000001,#FFFFFF,255,255,255,brain,brain,organ,0,0,
AllenCCF-Annotation-2020-889,AllenCCF-Ontology-2017-8,AllenCCF-Ontology-2017-CATE,879,804808,0.8048080000000001,#BFDAE3,191,218,227,Basic cell groups and regions,grey,category,1,1,AllenCCF-Ontology-2017-997
AllenCCF-Annotation-2020-889,AllenCCF-Ontology-2017-315,AllenCCF-Ontology-2017-DIVI,879,804808,0.8048080000000001,#70FF71,112,255,113,Isocortex,Isocortex,division,2,1,AllenCCF-Ontology-2017-8
AllenCCF-Annotation-2020-889,AllenCCF-Ontology-2017-353,AllenCCF-Ontology-2017-STRU,879,804808,0.8048080000000001,#188064,24,128,100,"Primary somatosensory area, nose",SSp-n,structure,3,4,AllenCCF-Ontology-2017-315
AllenCCF-Annotation-2020-889,AllenCCF-Ontology-2017-889,AllenCCF-Ontology-2017-SUBS,879,804808,0.8048080000000001,#188064,24,128,100,"Primary somatosensory area, nose, layer 6a",SSp-n6a,substructure,4,20,AllenCCF-Ontology-2017-353
AllenCCF-Annotation-2020-929,AllenCCF-Ontology-2017-997,AllenCCF-Ontology-2017-ORGA,919,53516,0.05351600000000001,#FFFFFF,255,255,255,brain,brain,organ,0,0,
AllenCCF-Annotation-2020-929,AllenCCF-Ontology-2017-8,AllenCCF-Ontology-2017-CATE,919,53516,0.05351600000000001,#BFDAE3,191,218,227,Basic cell groups and regions,grey,category,1,1,AllenCCF-Ontology-2017-997
AllenCCF-Annotation-2020-929,AllenCCF-Ontology-2017-315,AllenCCF-Ontology-2017-DIVI,919,53516,0.05351600000000001,#70FF71,112,255,113,Isocortex,Isocortex,division,2,1,AllenCCF-Ontology-2017-8
AllenCCF-Annotation-2020-929,AllenCCF-Ontology-2017-353,AllenCCF-Ontology-2017-STRU,919,53516,0.05351600000000001,#188064,24,128,100,"Primary somatosensory area, nose",SSp-n,structure,3,4,AllenCCF-Ontology-2017-315
AllenCCF-Annotation-2020-929,AllenCCF-Ontology-2017-929,AllenCCF-Ontology-2017-SUBS,919,53516,0.05351600000000001,#188064,24,128,100,"Primary somatosensory area, nose, layer 6b",SSp-n6b,substructure,4,21,AllenCCF-Ontology-2017-353
AllenCCF-Annotation-2020-981,AllenCCF-Ontology-2017-997,AllenCCF-Ontology-2017-ORGA,971,839500,0.8395000000000001,#FFFFFF,255,255,255,brain,brain,organ,0,0,
AllenCCF-Annotation-2020-981,AllenCCF-Ontology-2017-8,AllenCCF-Ontology-2017-CATE,971,839500,0.8395000000000001,#BFDAE3,191,218,227,Basic cell groups and regions,grey,category,1,1,AllenCCF-Ontology-2017-997
AllenCCF-Annotation-2020-981,AllenCCF-Ontology-2017-315,AllenCCF-Ontology-2017-DIVI,971,839500,0.8395000000000001,#70FF71,112,255,113,Isocortex,Isocortex,division,2,1,AllenCCF-Ontology-2017-8
AllenCCF-Annotation-2020-981,AllenCCF-Ontology-2017-329,AllenCCF-Ontology-2017-STRU,971,839500,0.8395000000000001,#188064,24,128,100,"Primary somatosensory area, barrel field",SSp-bfd,structure,3,5,AllenCCF-Ontology-2017-315
AllenCCF-Annotation-2020-981,AllenCCF-Ontology-2017-981,AllenCCF-Ontology-2017-SUBS,971,839500,0.8395000000000001,#188064,24,128,100,"Primary somatosensory area, barrel field, layer 1",SSp-bfd1,substructure,4,22,AllenCCF-Ontology-2017-329
AllenCCF-Annotation-2020-201,AllenCCF-Ontology-2017-997,AllenCCF-Ontology-2017-ORGA,194,1516040,1.5160400000000003,#FFFFFF,255,255,255,brain,brain,organ,0,0,
AllenCCF-Annotation-2020-201,AllenCCF-Ontology-2017-8,AllenCCF-Ontology-2017-CATE,194,1516040,1.5160400000000003,#BFDAE3,191,218,227,Basic cell groups and regions,grey,category,1,1,AllenCCF-Ontology-2017-997
AllenCCF-Annotation-2020-201,AllenCCF-Ontology-2017-315,AllenCCF-Ontology-2017-DIVI,194,1516040,1.5160400000000003,#70FF71,112,255,113,Isocortex,Isocortex,division,2,1,AllenCCF-Ontology-2017-8
